,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Chris Novakoski,73 (97),10 - 1:40:41,,12 - 1:26:03,,,,40:07,8 - 31:56,8 - 22:32,12 - 5:40.0,12 - 1:08:01,,15 - 19:44,,8 - 19:21,,12 - 19:28
Adam Otstot,75,,,,20 - 15:50,,20 - 15:17,,20 - 25:41,,,,,,,,15 - 16:04,
Paul Pelletier,10,,,,,,,41:38,,,,,41:53,,,10 - 19:09,19:12,
Steven Peters,0,,,,,,,59:08,,31:42,,,1:03:07,,,,,
Wayne Phelps,0,,1:50:20,,,,,,,28:55,7:03.7,1:26:14,,23:42,,22:44,,
Rick Platt,0,,,,,,47:59,59:13,51:47,,,,,,,46:13,35:11,
Alexey Popov,18,,,,,45:45,20:24,,34:15,23:49,10 - 5:47.6,1:12:36,43:25,8 - 20:58,1:10:15,,19:58,20:28
Bill Price,0,,1:25:44,2:00:48,24:34,50:44,23:45,52:06,40:19,29:13,7:14.6,1:30:43,53:45,26:34,,24:13,,
John Price,0,,,,,,,1:10:34,,45:02,8:42.8,,,,,,,
Kevin Rafferty,0,,,,21:48,,,47:24,,26:02,6:31.1,1:20:15,,23:28,,,,22:22
Tom Randolph,0,,,,,,,50:44,,,,,,,,,,
Robert Rantanen,0,,,,,,,57:50,,31:36,,,,28:14,,,,
Andy Riley,35,,,,15 - 17:31,,12 - 17:14,,,,,,,,,,8 - 17:58,
Brett Riley,0,1:43:34,,,,,,40:47,,22:42,,1:13:00,,21:02,,,,
Ernest Schillinger,,,,,,,,,,,,,,,,,,
Stephen Scudder,0,,2:19:00,,39:30,1:24:17,39:15,1:24:35,1:06:02,47:59,11:24.8,,1:32:08,45:31,,,40:13,40:46
John Searing,0,,,,,,,1:03:09,,,,,,,,,,
Steven Shapiro,0,,,,,,,1:16:34,,43:37,,2:13:33,,,,,,
Daniel Shean,10,,,,10 - 17:39,,,,,,,,,,,,,
Brook Sherman,,,,,,,,,,,,,,,,,,
Lorenzo Short,0,,,1:32:38,,,18:15,,,,,,,,,,,
Steven Short,0,,,,21:02,,20:47,,,,,,,,,,20:41,
Jordan Spector,0,,1:12:49,,20:18,,,,,,,1:15:19,,,,,,
Logan St. John,12,,,,18:35,,,,,12 - 21:15,,,,,,,,
Michael Stallings,0,,1:17:50,,,,,1:03:16,,,,,,,,,,
Dwight Starks,0,,1:48:42,,27:08,1:00:34,34:10,1:00:10,,32:38,,,59:56,45:31,,27:43,,
Dean Stover,0,,,,,,,47:22,,26:24,6:26.6,1:29:02,,,,,,
John Tarley,,,,,,,,,,,,,,,,,,
Jonathan Thornberry,0,,,,,,,,,28:04,,,,,,,,
Jonathan Torres,95 (132),,15 - 1:02:29,15 - 1:23:43,12 - 17:36,15 - 37:38,19:18,15 - 38:30,,,,,15 - 37:44,,15 - 1:01:55,,10 - 17:24,20 - 17:57
Winston Trice,,,,,,,,,,,,,,,,,,
Alan Van Zandt,,,,,,,,,,,,,,,,,,
Joseph Verdirame,0,,,,27:28,56:37,27:09,55:31,45:54,32:04,,1:32:54,54:36,29:14,1:32:28,,26:35,26:30
John Walker,,,,,,,,,,,,,,,,,,
Rick Webb,0,,,,44:16,,,,1:11:53,,,,,,,42:14,,42:49
Gregg Weber,0,2:16:50,1:26:08,,,1:01:59,,59:34,,,7:13.5,,58:04,27:32,,,,
Tim Westfall,0,,1:21:00,,,,,,,28:26,7:12.4,,,,,,,23:55
Robert Whitaker,26,,8 - 1:08:19,,18:55,40:36,18:45,41:58,,,,,42:37,21:12,8 - 1:08:05,20:04,20:06,10 - 19:49
John Wills,0,,1:29:45,,,,,54:32,,30:04,7:36.1,,,25:36,,,,
Matthew Zentz,0,2:16:01,1:27:06,1:57:00,24:31,51:39,23:41,55:17,40:35,41:49,6:50.5,1:39:19,56:25,26:14,,,,
,,,,,,,,,,,,,,,,,,
Overall Women,Total,DS 15 Miler,Heart 10 Miler,Colonial Half,Queens Lake 5K,Yorktown 10K,DOG 5K,ERR 10K,Freedom 8K,Scholarship 5K,Strider Mile,Strider 10 Miler,Jamestown 10K,XC Classic 5K,Yorktown 10 Miler,Piankatank 5K,Gov's Land 5K,Haiti 5K
Jessica Anderson,18,,,,24:40,53:25,24:34,57:14,,,,,8 - 54:33,,10 - 1:27:44,,23:54,
Nancy Atlee,0,,,,44:01,1:38:06,,1:33:43,,,,,,,,44:23,,
Barbara Biasi,0,,,,,,,,50:37,,,,,,,32:15,,31:54
Gail Biermann,0,,1:52:11,2:37:24,,,,1:11:03,,35:40,8:42.2,1:53:53,,33:19,1:48:13,,,
Betty Brothers,18,,,,,,,56:37,,35:53,8:00.2,10 - 1:30:55,,8 - 29:56,,,,
Jami Callahan-Brill,0,,1:33:07,2:06:16,25:44,55:25,25:53,,,,,,56:07,,1:29:31,,26:14,
Kristi Chiles,0,2:50:11,1:33:43,2:12:35,27:25,,,1:00:59,,,,,,,,,,
Tammi Clarke,0,,,2:05:45,,,,,,,,,,,,,,
Carla Cline,0,,,,,,,1:04:32,,39:14,,1:45:05,,,1:41:52,,,
Amanda Collier,0,,1:37:51,2:14:23,28:18,58:24,,1:00:46,46:40,,,,,,1:38:04,,,27:38
Jennifer Cornette,0,,1:27:54,,,,,56:00,,29:59,,,,,,,,25:48
Susan Davis,0,,,2:26:23,,,,,,40:01,,1:44:38,,,,,,
Virginia Davis,0,,1:53:08,2:37:35,31:49,,,1:09:45,53:39,37:38,,,1:10:13,,,,,
Megan Doty,,,,,,,,,,,,,,,,,,
Kasey Dunn,,,,,,,,,,,,,,,,,,
Victoria Estes,0,,,,44:24,,44:30,,1:12:00,,,,,,,,,
Thea Ganoe,0,,,,,,,,,,,,,,1:50:50,29:56,,31:24
Erin Gedicke,0,,1:43:58,2:20:28,28:45,,,,,,,,,,,,,
